Region,Year,Type of alcoholic beverages,Consumption of alcoholic beverages (thousands of decaliters),Consumption of alcoholic beverages (in liters per capita),Consumption of alcoholic beverages (in liters of pure alcohol per capita)
Kurgan Oblast,2020,Wine,188.17,2.35,0.26
Sverdlovsk Oblast,2020,Wine,2016.76,4.68,0.51
Khanty–Mansi Autonomous Okrug – Yugra,2020,Wine,571.04,3.39,0.37
Yamalo-Nenets Autonomous Okrug,2020,Wine,199.46,3.91,0.43
Chelyabinsk Oblast,2020,Wine,1216.54,3.51,0.39
Tyumen Oblast,2020,Wine,540.58,3.42,0.38
Altai Republic,2020,Wine,43.36,2.05,0.23
Tuva,2020,Wine,14.54,0.44,0.05
Khakassia,2020,Wine,136.17,2.53,0.28
Altai Krai,2020,Wine,488.87,2.20,0.24
Krasnoyarsk Krai,2020,Wine,959.73,3.34,0.37
Irkutsk Oblast,2020,Wine,863.18,3.60,0.40
Kemerovo Oblast,2020,Wine,658.18,2.49,0.27
Novosibirsk Oblast,2020,Wine,1013.90,3.61,0.40
Omsk Oblast,2020,Wine,522.61,2.75,0.30
Tomsk Oblast,2020,Wine,353.98,3.29,0.36
Buryatia,2020,Wine,188.63,1.92,0.21
Sakha (Yakutia),2020,Wine,229.14,2.35,0.26
Zabaykalsky Krai,2020,Wine,259.10,2.53,0.28
Kamchatka Krai,2020,Wine,146.70,4.95,0.54
Primorsky Krai,2020,Wine,830.27,4.42,0.49
Khabarovsk Krai,2020,Wine,502.88,3.84,0.42
Amur Oblast,2020,Wine,280.30,3.58,0.39
Magadan Oblast,2020,Wine,64.83,4.68,0.51
Sakhalin Oblast,2020,Wine,252.21,5.32,0.59
Jewish Autonomous Oblast,2020,Wine,45.63,2.95,0.32
Chukotka Autonomous Okrug,2020,Wine,15.81,3.26,0.36
Belgorod Oblast,2021,Wine,327.81,2.12,0.23
Bryansk Oblast,2021,Wine,328.75,2.79,0.31
Vladimir Oblast,2021,Wine,586.73,4.32,0.47
Voronezh Oblast,2021,Wine,666.89,2.88,0.32
Ivanovo Oblast,2021,Wine,373.21,3.98,0.44
Kaluga Oblast,2021,Wine,456.43,4.32,0.48
Kostroma Oblast,2021,Wine,243.04,4.12,0.45
Kursk Oblast,2021,Wine,258.20,2.37,0.26
Lipetsk Oblast,2021,Wine,314.82,2.74,0.30
Moscow Oblast,2021,Wine,5515.27,6.54,0.72
Oryol Oblast,2021,Wine,201.45,2.79,0.31
Ryazan Oblast,2021,Wine,379.42,3.42,0.38
Smolensk Oblast,2021,Wine,333.20,3.70,0.41
Tambov Oblast,2021,Wine,205.31,2.07,0.23
Tver Oblast,2021,Wine,530.13,4.27,0.47
Tula Oblast,2021,Wine,515.24,3.42,0.38
Yaroslavl Oblast,2021,Wine,654.79,5.36,0.59
Moscow,2021,Wine,7009.22,5.40,0.59
Republic of Karelia,2021,Wine,382.08,7.06,0.78
Komi Republic,2021,Wine,374.58,4.99,0.55
Nenets Autonomous Okrug,2021,Wine,31.70,7.63,0.84
Vologda Oblast,2021,Wine,550.96,4.79,0.53
Kaliningrad Oblast,2021,Wine,654.90,6.41,0.71
Leningrad Oblast,2021,Wine,1302.99,6.59,0.72
Murmansk Oblast,2021,Wine,401.07,5.91,0.65
Novgorod Oblast,2021,Wine,260.70,4.43,0.49
Pskov Oblast,2021,Wine,278.11,4.60,0.51
Saint Petersburg,2021,Wine,3965.62,7.10,0.78
Arkhangelsk Oblast,2021,Wine,611.58,6.14,0.68
Adygea,2021,Wine,82.20,1.68,0.18
Kalmykia,2021,Wine,25.16,0.94,0.10
Republic of Crimea,2021,Wine,1097.45,5.68,0.62
Krasnodar Krai,2021,Wine,2463.41,4.24,0.47
Astrakhan Oblast,2021,Wine,183.43,1.89,0.21
Volgograd Oblast,2021,Wine,587.38,2.34,0.26
Rostov Oblast,2021,Wine,910.58,2.16,0.24
Sevastopol,2021,Wine,340.75,6.41,0.70
Dagestan,2021,Wine,92.27,0.29,0.03
Ingushetia,2021,Wine,1.60,0.03,0.00
Kabardino-Balkaria,2021,Wine,34.28,0.38,0.04
Karachay-Cherkessia,2021,Wine,27.22,0.58,0.06
North Ossetia-Alania,2021,Wine,34.89,0.51,0.06
Chechnya,2021,Wine,4.44,0.03,0.00
Stavropol Krai,2021,Wine,483.82,1.67,0.18
Bashkortostan,2021,Wine,934.86,2.28,0.25
Mari El,2021,Wine,169.15,2.49,0.27
Mordovia,2021,Wine,153.90,1.95,0.21
Tatarstan,2021,Wine,968.66,2.42,0.27
Udmurtia,2021,Wine,453.72,3.11,0.34
Chuvashia,2021,Wine,277.79,2.33,0.26
Perm Krai,2021,Wine,938.59,3.68,0.40
Kirov Oblast,2021,Wine,458.64,3.91,0.43
Nizhny Novgorod Oblast,2021,Wine,1316.36,4.19,0.46
Orenburg Oblast,2021,Wine,459.93,2.45,0.27
Penza Oblast,2021,Wine,312.36,2.44,0.27
Samara Oblast,2021,Wine,1071.53,3.37,0.37
Saratov Oblast,2021,Wine,574.67,2.34,0.26
Ulyanovsk Oblast,2021,Wine,323.32,2.68,0.29
Kurgan Oblast,2021,Wine,191.65,2.43,0.27
Sverdlovsk Oblast,2021,Wine,2002.47,4.67,0.51
Khanty–Mansi Autonomous Okrug – Yugra,2021,Wine,538.78,3.17,0.35
Yamalo-Nenets Autonomous Okrug,2021,Wine,190.49,3.74,0.41
Chelyabinsk Oblast,2021,Wine,1186.85,3.44,0.38
Tyumen Oblast,2021,Wine,541.78,3.41,0.37
Altai Republic,2021,Wine,49.64,2.35,0.26
Tuva,2021,Wine,22.90,0.69,0.08
Khakassia,2021,Wine,145.11,2.71,0.30
Altai Krai,2021,Wine,509.01,2.32,0.26
Krasnoyarsk Krai,2021,Wine,1021.76,3.57,0.39
Irkutsk Oblast,2021,Wine,873.43,3.67,0.40
Kemerovo Oblast,2021,Wine,667.47,2.55,0.28
Novosibirsk Oblast,2021,Wine,1041.03,3.72,0.41
Omsk Oblast,2021,Wine,520.95,2.77,0.31
Tomsk Oblast,2021,Wine,357.17,3.35,0.37
Buryatia,2021,Wine,201.60,2.06,0.23
Sakha (Yakutia),2021,Wine,245.66,2.49,0.27
Zabaykalsky Krai,2021,Wine,259.23,2.55,0.28
Kamchatka Krai,2021,Wine,142.35,4.85,0.53
Primorsky Krai,2021,Wine,854.08,4.60,0.51
Khabarovsk Krai,2021,Wine,521.25,4.02,0.44
Amur Oblast,2021,Wine,285.49,3.69,0.41
Magadan Oblast,2021,Wine,66.12,4.81,0.53
Sakhalin Oblast,2021,Wine,246.07,5.24,0.58
Jewish Autonomous Oblast,2021,Wine,45.85,3.01,0.33
Chukotka Autonomous Okrug,2021,Wine,14.45,3.04,0.33
Belgorod Oblast,2022,Wine,330.63,2.15,0.24
Bryansk Oblast,2022,Wine,324.95,2.79,0.31
Vladimir Oblast,2022,Wine,588.64,4.39,0.48
Voronezh Oblast,2022,Wine,669.98,2.91,0.32
Ivanovo Oblast,2022,Wine,374.12,4.05,0.45
Kaluga Oblast,2022,Wine,453.23,4.22,0.46
Kostroma Oblast,2022,Wine,243.14,4.21,0.46
Kursk Oblast,2022,Wine,257.87,2.39,0.26
Lipetsk Oblast,2022,Wine,311.24,2.73,0.30
Moscow Oblast,2022,Wine,5621.39,6.58,0.72
Oryol Oblast,2022,Wine,196.42,2.77,0.30
Ryazan Oblast,2022,Wine,382.60,3.48,0.38
Smolensk Oblast,2022,Wine,333.20,3.76,0.41
Tambov Oblast,2022,Wine,207.12,2.12,0.23
Tver Oblast,2022,Wine,534.05,4.36,0.48
Tula Oblast,2022,Wine,515.12,3.44,0.38
Yaroslavl Oblast,2022,Wine,654.66,5.43,0.60
Moscow,2022,Wine,7158.59,5.50,0.61
Republic of Karelia,2022,Wine,384.74,7.23,0.79
Komi Republic,2022,Wine,366.90,5.00,0.55
Nenets Autonomous Okrug,2022,Wine,30.71,7.41,0.82
Vologda Oblast,2022,Wine,540.63,4.75,0.52
Kaliningrad Oblast,2022,Wine,668.47,6.48,0.71
Leningrad Oblast,2022,Wine,1334.66,6.65,0.73
Murmansk Oblast,2022,Wine,401.85,6.04,0.66
Novgorod Oblast,2022,Wine,256.86,4.42,0.49
Pskov Oblast,2022,Wine,279.94,4.69,0.52
Saint Petersburg,2022,Wine,4082.97,7.28,0.80
Arkhangelsk Oblast,2022,Wine,583.83,5.99,0.66
Adygea,2022,Wine,85.41,1.71,0.19
Kalmykia,2022,Wine,26.08,0.98,0.11
Republic of Crimea,2022,Wine,900.48,4.66,0.51
Krasnodar Krai,2022,Wine,2484.04,4.26,0.47
Astrakhan Oblast,2022,Wine,187.41,1.96,0.22
Volgograd Oblast,2022,Wine,606.31,2.43,0.27
Rostov Oblast,2022,Wine,951.53,2.27,0.25
Sevastopol,2022,Wine,293.64,5.36,0.59
Dagestan,2022,Wine,106.81,0.34,0.04
Ingushetia,2022,Wine,2.08,0.04,0.00
Kabardino-Balkaria,2022,Wine,36.62,0.40,0.04
Karachay-Cherkessia,2022,Wine,29.40,0.63,0.07
North Ossetia-Alania,2022,Wine,37.22,0.54,0.06
Chechnya,2022,Wine,3.33,0.02,0.00
Stavropol Krai,2022,Wine,505.29,1.74,0.19
