Region,Year,Type of alcoholic beverages,Consumption of alcoholic beverages (thousands of decaliters),Consumption of alcoholic beverages (in liters per capita),Consumption of alcoholic beverages (in liters of pure alcohol per capita)
Bashkortostan,2022,Wine,967.00,2.36,0.26
Mari El,2022,Wine,168.00,2.48,0.27
Mordovia,2022,Wine,156.04,2.00,0.22
Tatarstan,2022,Wine,1016.70,2.54,0.28
Udmurtia,2022,Wine,454.79,3.14,0.35
Chuvashia,2022,Wine,282.29,2.38,0.26
Perm Krai,2022,Wine,946.23,3.75,0.41
Kirov Oblast,2022,Wine,457.76,3.98,0.44
Nizhny Novgorod Oblast,2022,Wine,1327.65,4.27,0.47
Orenburg Oblast,2022,Wine,476.60,2.57,0.28
Penza Oblast,2022,Wine,312.75,2.48,0.27
Samara Oblast,2022,Wine,1098.74,3.47,0.38
Saratov Oblast,2022,Wine,569.19,2.34,0.26
Ulyanovsk Oblast,2022,Wine,329.93,2.77,0.30
Kurgan Oblast,2022,Wine,198.71,2.57,0.28
Sverdlovsk Oblast,2022,Wine,2014.37,4.72,0.52
Khanty–Mansi Autonomous Okrug – Yugra,2022,Wine,533.02,3.11,0.34
Yamalo-Nenets Autonomous Okrug,2022,Wine,192.97,3.77,0.42
Chelyabinsk Oblast,2022,Wine,1205.97,3.52,0.39
Tyumen Oblast,2022,Wine,561.43,3.50,0.39
Altai Republic,2022,Wine,50.45,2.39,0.26
Tuva,2022,Wine,21.06,0.63,0.07
Khakassia,2022,Wine,144.08,2.70,0.30
Altai Krai,2022,Wine,489.48,2.27,0.25
Krasnoyarsk Krai,2022,Wine,1013.46,3.55,0.39
Irkutsk Oblast,2022,Wine,841.50,3.56,0.39
Kemerovo Oblast,2022,Wine,656.22,2.53,0.28
Novosibirsk Oblast,2022,Wine,1023.96,3.66,0.40
Omsk Oblast,2022,Wine,518.40,2.80,0.31
Tomsk Oblast,2022,Wine,352.06,3.31,0.36
Buryatia,2022,Wine,192.63,1.97,0.22
Sakha (Yakutia),2022,Wine,240.80,2.41,0.27
Zabaykalsky Krai,2022,Wine,252.87,2.53,0.28
Kamchatka Krai,2022,Wine,140.00,4.79,0.53
Primorsky Krai,2022,Wine,832.15,4.52,0.50
Khabarovsk Krai,2022,Wine,498.53,3.86,0.42
Amur Oblast,2022,Wine,277.32,3.63,0.40
Magadan Oblast,2022,Wine,62.17,4.57,0.50
Sakhalin Oblast,2022,Wine,232.85,5.00,0.55
Jewish Autonomous Oblast,2022,Wine,44.04,2.94,0.32
Chukotka Autonomous Okrug,2022,Wine,14.48,3.02,0.33
Belgorod Oblast,2023,Wine,346.49,2.29,0.25
Bryansk Oblast,2023,Wine,342.19,2.97,0.33
Vladimir Oblast,2023,Wine,616.19,4.65,0.51
Voronezh Oblast,2023,Wine,730.55,3.20,0.35
Ivanovo Oblast,2023,Wine,399.18,4.36,0.48
Kaluga Oblast,2023,Wine,477.27,4.46,0.49
Kostroma Oblast,2023,Wine,259.59,4.54,0.50
Kursk Oblast,2023,Wine,281.05,2.63,0.29
Lipetsk Oblast,2023,Wine,347.00,3.08,0.34
Moscow Oblast,2023,Wine,5961.23,6.94,0.76
Oryol Oblast,2023,Wine,212.57,3.04,0.33
Ryazan Oblast,2023,Wine,409.25,3.76,0.41
Smolensk Oblast,2023,Wine,348.92,4.00,0.44
Tambov Oblast,2023,Wine,233.23,2.41,0.27
Tver Oblast,2023,Wine,567.19,4.68,0.52
Tula Oblast,2023,Wine,548.29,3.70,0.41
Yaroslavl Oblast,2023,Wine,694.10,5.81,0.64
Moscow,2023,Wine,7398.10,5.65,0.62
Republic of Karelia,2023,Wine,397.22,7.52,0.83
Komi Republic,2023,Wine,387.24,5.33,0.59
Nenets Autonomous Okrug,2023,Wine,29.84,7.21,0.79
Vologda Oblast,2023,Wine,569.38,5.04,0.55
Kaliningrad Oblast,2023,Wine,690.45,6.69,0.74
Leningrad Oblast,2023,Wine,1413.90,6.99,0.77
Murmansk Oblast,2023,Wine,425.36,6.46,0.71
Novgorod Oblast,2023,Wine,273.52,4.75,0.52
Pskov Oblast,2023,Wine,291.68,4.96,0.55
Saint Petersburg,2023,Wine,4241.02,7.57,0.83
Arkhangelsk Oblast,2023,Wine,620.23,6.43,0.71
Adygea,2023,Wine,95.09,1.91,0.21
Kalmykia,2023,Wine,27.57,1.04,0.11
Republic of Crimea,2023,Wine,815.54,4.25,0.47
Krasnodar Krai,2023,Wine,2852.58,4.90,0.54
Astrakhan Oblast,2023,Wine,197.07,2.07,0.23
Volgograd Oblast,2023,Wine,657.72,2.66,0.29
Rostov Oblast,2023,Wine,1063.15,2.55,0.28
Sevastopol,2023,Wine,284.72,5.10,0.56
Dagestan,2023,Wine,119.82,0.37,0.04
Ingushetia,2023,Wine,2.24,0.04,0.00
Kabardino-Balkaria,2023,Wine,38.58,0.43,0.05
Karachay-Cherkessia,2023,Wine,32.99,0.70,0.08
North Ossetia-Alania,2023,Wine,42.50,0.62,0.07
Chechnya,2023,Wine,2.45,0.02,0.00
Stavropol Krai,2023,Wine,568.48,1.97,0.22
Bashkortostan,2023,Wine,1053.79,2.58,0.28
Mari El,2023,Wine,186.65,2.78,0.31
Mordovia,2023,Wine,171.73,2.23,0.24
Tatarstan,2023,Wine,1103.05,2.76,0.30
Udmurtia,2023,Wine,494.79,3.43,0.38
Chuvashia,2023,Wine,313.55,2.67,0.29
Perm Krai,2023,Wine,1033.15,4.12,0.45
Kirov Oblast,2023,Wine,488.23,4.29,0.47
Nizhny Novgorod Oblast,2023,Wine,1435.32,4.66,0.51
Orenburg Oblast,2023,Wine,506.33,2.75,0.30
Penza Oblast,2023,Wine,337.49,2.71,0.30
Samara Oblast,2023,Wine,1200.51,3.82,0.42
Saratov Oblast,2023,Wine,606.46,2.52,0.28
Ulyanovsk Oblast,2023,Wine,363.15,3.07,0.34
Kurgan Oblast,2023,Wine,208.07,2.73,0.30
Sverdlovsk Oblast,2023,Wine,2130.30,5.03,0.55
Khanty–Mansi Autonomous Okrug – Yugra,2023,Wine,558.39,3.23,0.35
Yamalo-Nenets Autonomous Okrug,2023,Wine,202.43,3.95,0.43
Chelyabinsk Oblast,2023,Wine,1303.80,3.83,0.42
Tyumen Oblast,2023,Wine,607.88,3.78,0.42
Altai Republic,2023,Wine,57.44,2.73,0.30
Tuva,2023,Wine,22.82,0.68,0.07
Khakassia,2023,Wine,155.70,2.94,0.32
Altai Krai,2023,Wine,516.05,2.42,0.27
Krasnoyarsk Krai,2023,Wine,1053.10,3.70,0.41
Irkutsk Oblast,2023,Wine,908.89,3.88,0.43
Kemerovo Oblast,2023,Wine,700.71,2.73,0.30
Novosibirsk Oblast,2023,Wine,1085.60,3.89,0.43
Omsk Oblast,2023,Wine,551.12,3.01,0.33
Tomsk Oblast,2023,Wine,367.83,3.50,0.38
Buryatia,2023,Wine,212.84,2.18,0.24
Sakha (Yakutia),2023,Wine,241.41,2.42,0.27
Zabaykalsky Krai,2023,Wine,266.15,2.68,0.29
Kamchatka Krai,2023,Wine,147.55,5.11,0.56
Primorsky Krai,2023,Wine,874.62,4.81,0.53
Khabarovsk Krai,2023,Wine,533.02,4.15,0.46
Amur Oblast,2023,Wine,293.17,3.88,0.43
Magadan Oblast,2023,Wine,61.02,4.54,0.50
Sakhalin Oblast,2023,Wine,241.94,5.25,0.58
Jewish Autonomous Oblast,2023,Wine,45.36,3.08,0.34
Chukotka Autonomous Okrug,2023,Wine,15.48,3.23,0.36
Belgorod Oblast,2017,Beer,9333.43,60.00,3.00
Bryansk Oblast,2017,Beer,4166.88,34.21,1.71
Vladimir Oblast,2017,Beer,8249.42,58.93,2.95
Voronezh Oblast,2017,Beer,7773.24,33.17,1.66
Ivanovo Oblast,2017,Beer,4076.12,41.01,2.05
Kaluga Oblast,2017,Beer,4376.38,41.78,2.09
Kostroma Oblast,2017,Beer,3037.36,48.64,2.43
Kursk Oblast,2017,Beer,3461.38,30.90,1.55
Lipetsk Oblast,2017,Beer,4849.04,41.46,2.07
Moscow Oblast,2017,Beer,38467.10,48.33,2.42
Oryol Oblast,2017,Beer,2623.60,34.86,1.74
Ryazan Oblast,2017,Beer,6873.74,60.62,3.03
Smolensk Oblast,2017,Beer,4263.78,45.33,2.27
Tambov Oblast,2017,Beer,3778.20,36.34,1.82
Tver Oblast,2017,Beer,5455.92,42.15,2.11
Tula Oblast,2017,Beer,5881.53,38.33,1.92
Yaroslavl Oblast,2017,Beer,5376.07,42.70,2.14
Moscow,2017,Beer,83040.40,66.54,3.33
Republic of Karelia,2017,Beer,3200.85,54.64,2.73
Komi Republic,2017,Beer,5026.56,61.94,3.10
Nenets Autonomous Okrug,2017,Beer,217.03,51.31,2.57
Vologda Oblast,2017,Beer,5475.41,46.27,2.31
Kaliningrad Oblast,2017,Beer,2866.56,29.02,1.45
Leningrad Oblast,2017,Beer,8949.30,48.59,2.43
Murmansk Oblast,2017,Beer,4748.69,65.58,3.28
Novgorod Oblast,2017,Beer,2970.09,48.69,2.43
Pskov Oblast,2017,Beer,3067.81,48.48,2.42
Saint Petersburg,2017,Beer,19296.17,35.70,1.78
Arkhangelsk Oblast,2017,Beer,4880.42,45.68,2.28
Adygea,2017,Beer,4111.50,87.51,4.38
Kalmykia,2017,Beer,499.18,18.03,0.90
Republic of Crimea,2017,Beer,7916.79,41.17,2.06
Krasnodar Krai,2017,Beer,21927.98,38.81,1.94
Astrakhan Oblast,2017,Beer,3157.73,31.53,1.58
Volgograd Oblast,2017,Beer,8630.35,33.73,1.69
Rostov Oblast,2017,Beer,13548.54,31.86,1.59
Sevastopol,2017,Beer,1980.62,43.19,2.16
Dagestan,2017,Beer,1669.37,5.45,0.27
Ingushetia,2017,Beer,14.95,0.32,0.02
Kabardino-Balkaria,2017,Beer,609.51,6.90,0.34
Karachay-Cherkessia,2017,Beer,983.03,20.95,1.05
North Ossetia-Alania,2017,Beer,205.67,2.93,0.15
Chechnya,2017,Beer,52.76,0.37,0.02
Stavropol Krai,2017,Beer,5977.21,20.81,1.04
Bashkortostan,2017,Beer,14780.53,35.89,1.79
Mari El,2017,Beer,2568.88,37.37,1.87
Mordovia,2017,Beer,2485.91,30.53,1.53
Tatarstan,2017,Beer,34312.79,86.94,4.35
Udmurtia,2017,Beer,7213.48,48.18,2.41
Chuvashia,2017,Beer,4324.98,35.25,1.76
Perm Krai,2017,Beer,11587.15,44.30,2.21
Kirov Oblast,2017,Beer,6859.88,55.16,2.76
Nizhny Novgorod Oblast,2017,Beer,15367.08,47.60,2.38
Orenburg Oblast,2017,Beer,7457.77,38.27,1.91
Penza Oblast,2017,Beer,7355.18,55.12,2.76
Samara Oblast,2017,Beer,16711.23,51.87,2.59
Saratov Oblast,2017,Beer,9532.83,37.88,1.89
Ulyanovsk Oblast,2017,Beer,4920.03,39.49,1.97
Kurgan Oblast,2017,Beer,4435.76,53.06,2.65
Sverdlovsk Oblast,2017,Beer,25230.24,58.28,2.91
Khanty–Mansi Autonomous Okrug – Yugra,2017,Beer,9636.10,58.31,2.92
Yamalo-Nenets Autonomous Okrug,2017,Beer,2868.31,55.97,2.80
Chelyabinsk Oblast,2017,Beer,14698.02,41.95,2.10
Tyumen Oblast,2017,Beer,6765.11,44.95,2.25
Altai Republic,2017,Beer,869.24,41.20,2.06
Tuva,2017,Beer,400.48,12.50,0.62
Khakassia,2017,Beer,3122.36,57.80,2.89
Altai Krai,2017,Beer,10839.63,47.06,2.35
Krasnoyarsk Krai,2017,Beer,10887.21,37.81,1.89
Irkutsk Oblast,2017,Beer,12166.26,50.43,2.52
Kemerovo Oblast,2017,Beer,12589.82,46.59,2.33
Novosibirsk Oblast,2017,Beer,12672.33,45.44,2.27
Omsk Oblast,2017,Beer,5985.72,30.58,1.53
Tomsk Oblast,2017,Beer,5795.09,53.86,2.69
Buryatia,2017,Beer,3761.19,38.32,1.92
Sakha (Yakutia),2017,Beer,2860.50,29.60,1.48
Zabaykalsky Krai,2017,Beer,3952.56,37.43,1.87
Kamchatka Krai,2017,Beer,2464.39,81.19,4.06
Primorsky Krai,2017,Beer,8447.95,44.22,2.21
Khabarovsk Krai,2017,Beer,6842.73,51.48,2.57
Amur Oblast,2017,Beer,4684.31,58.79,2.94
Magadan Oblast,2017,Beer,808.39,55.92,2.80
Sakhalin Oblast,2017,Beer,2964.55,62.21,3.11
Jewish Autonomous Oblast,2017,Beer,1062.66,65.75,3.29
Chukotka Autonomous Okrug,2017,Beer,230.50,47.39,2.37
Belgorod Oblast,2018,Beer,7595.57,48.91,2.45
Bryansk Oblast,2018,Beer,4662.03,38.59,1.93
Vladimir Oblast,2018,Beer,6900.61,49.64,2.48
Voronezh Oblast,2018,Beer,9273.76,39.58,1.98
Ivanovo Oblast,2018,Beer,5184.77,52.88,2.64
Kaluga Oblast,2018,Beer,4885.60,46.51,2.33
Kostroma Oblast,2018,Beer,3295.67,53.53,2.68
Kursk Oblast,2018,Beer,5963.77,53.64,2.68
Lipetsk Oblast,2018,Beer,5046.92,43.29,2.16
Moscow Oblast,2018,Beer,43659.95,53.98,2.70
Oryol Oblast,2018,Beer,3019.89,40.55,2.03
Ryazan Oblast,2018,Beer,5422.55,47.99,2.40
Smolensk Oblast,2018,Beer,4621.57,49.44,2.47
Tambov Oblast,2018,Beer,3732.36,36.13,1.81
Tver Oblast,2018,Beer,5963.26,46.54,2.33
Tula Oblast,2018,Beer,6105.47,39.83,1.99
Yaroslavl Oblast,2018,Beer,5948.24,47.51,2.38
Moscow,2018,Beer,45239.58,35.73,1.79
Republic of Karelia,2018,Beer,3218.21,56.28,2.81
Komi Republic,2018,Beer,4789.14,60.18,3.01
Nenets Autonomous Okrug,2018,Beer,198.32,47.16,2.36
Vologda Oblast,2018,Beer,5817.89,49.47,2.47
Kaliningrad Oblast,2018,Beer,3669.11,36.82,1.84
Leningrad Oblast,2018,Beer,9644.51,51.54,2.58
Murmansk Oblast,2018,Beer,4909.04,68.69,3.43
Novgorod Oblast,2018,Beer,3113.24,51.57,2.58
Pskov Oblast,2018,Beer,3124.46,49.93,2.50
Saint Petersburg,2018,Beer,19360.95,35.24,1.76
Arkhangelsk Oblast,2018,Beer,5025.33,47.90,2.40
Adygea,2018,Beer,3867.80,81.85,4.09
Kalmykia,2018,Beer,567.82,20.69,1.03
Republic of Crimea,2018,Beer,11380.73,58.98,2.95
Krasnodar Krai,2018,Beer,27511.22,48.30,2.41
Astrakhan Oblast,2018,Beer,3000.81,30.09,1.50
Volgograd Oblast,2018,Beer,8580.98,33.67,1.68
Rostov Oblast,2018,Beer,12784.22,30.11,1.51
Sevastopol,2018,Beer,1897.02,39.56,1.98
Dagestan,2018,Beer,1155.96,3.75,0.19
Ingushetia,2018,Beer,18.41,0.38,0.02
Kabardino-Balkaria,2018,Beer,661.23,7.44,0.37
Karachay-Cherkessia,2018,Beer,1078.26,22.95,1.15
North Ossetia-Alania,2018,Beer,233.65,3.33,0.17
Chechnya,2018,Beer,48.24,0.34,0.02
Stavropol Krai,2018,Beer,5812.30,20.19,1.01
Bashkortostan,2018,Beer,15125.34,36.69,1.83
Mari El,2018,Beer,2814.74,41.06,2.05
Mordovia,2018,Beer,3136.29,38.63,1.93
Tatarstan,2018,Beer,16688.73,42.07,2.10
Udmurtia,2018,Beer,13353.62,89.62,4.48
Chuvashia,2018,Beer,4879.18,39.94,2.00
Perm Krai,2018,Beer,12787.36,49.10,2.45
Kirov Oblast,2018,Beer,7189.51,58.55,2.93
Nizhny Novgorod Oblast,2018,Beer,13879.83,43.21,2.16
Orenburg Oblast,2018,Beer,6879.14,35.63,1.78
Penza Oblast,2018,Beer,6021.20,45.51,2.28
Samara Oblast,2018,Beer,19640.23,61.10,3.06
Saratov Oblast,2018,Beer,11000.81,43.89,2.19
Ulyanovsk Oblast,2018,Beer,5056.24,40.82,2.04
Kurgan Oblast,2018,Beer,4281.11,51.93,2.60
Sverdlovsk Oblast,2018,Beer,25675.61,59.37,2.97
Khanty–Mansi Autonomous Okrug – Yugra,2018,Beer,8773.54,52.77,2.64
Yamalo-Nenets Autonomous Okrug,2018,Beer,3106.09,60.76,3.04
Chelyabinsk Oblast,2018,Beer,13881.75,39.72,1.99
Tyumen Oblast,2018,Beer,6844.46,44.71,2.24
Altai Republic,2018,Beer,875.51,41.47,2.07
Tuva,2018,Beer,436.82,13.49,0.67
Khakassia,2018,Beer,3377.83,62.49,3.12
Altai Krai,2018,Beer,11058.76,48.55,2.43
Krasnoyarsk Krai,2018,Beer,10858.86,37.69,1.88
Irkutsk Oblast,2018,Beer,13135.73,54.55,2.73
Kemerovo Oblast,2018,Beer,15016.25,55.89,2.79
Novosibirsk Oblast,2018,Beer,14560.73,52.01,2.60
Omsk Oblast,2018,Beer,6080.20,31.31,1.57
Tomsk Oblast,2018,Beer,5685.00,52.90,2.64
Buryatia,2018,Beer,3502.76,35.70,1.78
Sakha (Yakutia),2018,Beer,3239.01,33.46,1.67
Zabaykalsky Krai,2018,Beer,3687.63,35.25,1.76
Kamchatka Krai,2018,Beer,2314.72,76.51,3.83
Primorsky Krai,2018,Beer,22142.02,116.63,5.83
Khabarovsk Krai,2018,Beer,7495.47,56.63,2.83
Amur Oblast,2018,Beer,6973.00,87.97,4.40
Magadan Oblast,2018,Beer,923.59,64.62,3.23
Sakhalin Oblast,2018,Beer,3029.31,63.33,3.17
Jewish Autonomous Oblast,2018,Beer,1007.10,63.30,3.17
Chukotka Autonomous Okrug,2018,Beer,216.51,45.11,2.26
Belgorod Oblast,2019,Beer,7386.80,47.63,2.38
Bryansk Oblast,2019,Beer,4810.39,40.18,2.01
Vladimir Oblast,2019,Beer,7021.04,50.90,2.54
Voronezh Oblast,2019,Beer,8300.88,35.50,1.77
Ivanovo Oblast,2019,Beer,4768.66,49.40,2.47
Kaluga Oblast,2019,Beer,4823.31,45.79,2.29
Kostroma Oblast,2019,Beer,3292.48,54.36,2.72
Kursk Oblast,2019,Beer,3947.19,35.78,1.79
Lipetsk Oblast,2019,Beer,4891.02,42.09,2.10
Moscow Oblast,2019,Beer,45793.81,55.62,2.78
Oryol Oblast,2019,Beer,2865.17,38.90,1.95
Ryazan Oblast,2019,Beer,5358.25,47.68,2.38
Smolensk Oblast,2019,Beer,4570.82,49.38,2.47
Tambov Oblast,2019,Beer,3447.12,33.95,1.70
Tver Oblast,2019,Beer,5971.74,47.15,2.36
Tula Oblast,2019,Beer,6000.22,39.33,1.97
Yaroslavl Oblast,2019,Beer,6122.44,49.22,2.46
Moscow,2019,Beer,45409.07,35.40,1.77
Republic of Karelia,2019,Beer,3247.13,58.04,2.90
Komi Republic,2019,Beer,6274.12,80.53,4.03
Nenets Autonomous Okrug,2019,Beer,195.18,46.90,2.34
Vologda Oblast,2019,Beer,6011.86,51.52,2.58
Kaliningrad Oblast,2019,Beer,4025.27,40.07,2.00
Leningrad Oblast,2019,Beer,10012.28,52.32,2.62
Murmansk Oblast,2019,Beer,4844.07,68.81,3.44
Novgorod Oblast,2019,Beer,2856.61,47.85,2.39
Pskov Oblast,2019,Beer,2992.76,48.47,2.42
Saint Petersburg,2019,Beer,19910.72,35.90,1.79
Arkhangelsk Oblast,2019,Beer,4976.17,48.31,2.42
Adygea,2019,Beer,3816.00,80.07,4.00
Kalmykia,2019,Beer,516.19,19.00,0.95
Republic of Crimea,2019,Beer,8964.35,46.38,2.32
Krasnodar Krai,2019,Beer,21820.89,37.92,1.90
Astrakhan Oblast,2019,Beer,3312.90,33.43,1.67
Volgograd Oblast,2019,Beer,8297.65,32.68,1.63
Rostov Oblast,2019,Beer,12620.03,29.83,1.49
Sevastopol,2019,Beer,1744.98,34.93,1.75
Dagestan,2019,Beer,1375.55,4.42,0.22
Ingushetia,2019,Beer,26.22,0.54,0.03
Kabardino-Balkaria,2019,Beer,880.73,9.87,0.49
Karachay-Cherkessia,2019,Beer,1370.52,29.17,1.46
North Ossetia-Alania,2019,Beer,224.17,3.21,0.16
Chechnya,2019,Beer,90.20,0.62,0.03
Stavropol Krai,2019,Beer,5414.47,18.77,0.94
Bashkortostan,2019,Beer,17148.53,41.64,2.08
Mari El,2019,Beer,2856.38,41.76,2.09
Mordovia,2019,Beer,2694.92,33.55,1.68
Tatarstan,2019,Beer,18426.59,46.28,2.31
Udmurtia,2019,Beer,14592.87,98.52,4.93
Chuvashia,2019,Beer,4515.88,37.24,1.86
Perm Krai,2019,Beer,13358.05,51.59,2.58
Kirov Oblast,2019,Beer,7406.09,61.23,3.06
Nizhny Novgorod Oblast,2019,Beer,13808.43,43.30,2.16
Orenburg Oblast,2019,Beer,7272.04,38.08,1.90
Penza Oblast,2019,Beer,5990.67,45.80,2.29
Samara Oblast,2019,Beer,18028.61,56.22,2.81
Saratov Oblast,2019,Beer,10242.44,41.12,2.06
Ulyanovsk Oblast,2019,Beer,5095.22,41.45,2.07
Kurgan Oblast,2019,Beer,4186.65,51.65,2.58
Sverdlovsk Oblast,2019,Beer,26569.53,61.57,3.08
Khanty–Mansi Autonomous Okrug – Yugra,2019,Beer,8643.31,51.69,2.58
Yamalo-Nenets Autonomous Okrug,2019,Beer,3060.39,59.93,3.00
Chelyabinsk Oblast,2019,Beer,14594.02,41.96,2.10
Tyumen Oblast,2019,Beer,6770.68,43.52,2.18
Altai Republic,2019,Beer,902.40,42.78,2.14
Tuva,2019,Beer,610.80,18.68,0.93
Khakassia,2019,Beer,3138.60,58.15,2.91
Altai Krai,2019,Beer,13067.15,58.07,2.90
Krasnoyarsk Krai,2019,Beer,11378.18,39.52,1.98
Irkutsk Oblast,2019,Beer,14760.68,61.44,3.07
Kemerovo Oblast,2019,Beer,16220.15,60.86,3.04
Novosibirsk Oblast,2019,Beer,15419.93,54.96,2.75
Omsk Oblast,2019,Beer,6315.86,32.83,1.64
Tomsk Oblast,2019,Beer,5409.10,50.39,2.52
Buryatia,2019,Beer,4554.80,46.50,2.32
Sakha (Yakutia),2019,Beer,2973.77,30.61,1.53
Zabaykalsky Krai,2019,Beer,3864.72,37.34,1.87
Kamchatka Krai,2019,Beer,2089.38,69.67,3.48
Primorsky Krai,2019,Beer,11550.30,61.23,3.06
Khabarovsk Krai,2019,Beer,8714.48,66.19,3.31
Amur Oblast,2019,Beer,4473.90,56.87,2.84
Magadan Oblast,2019,Beer,842.10,60.20,3.01
Sakhalin Oblast,2019,Beer,3103.19,65.16,3.26
Jewish Autonomous Oblast,2019,Beer,979.77,62.54,3.13
Chukotka Autonomous Okrug,2019,Beer,222.67,46.30,2.31
Belgorod Oblast,2020,Beer,7214.87,46.46,2.32
Bryansk Oblast,2020,Beer,5320.50,44.74,2.24
Vladimir Oblast,2020,Beer,7190.78,52.35,2.62
Voronezh Oblast,2020,Beer,8299.69,35.52,1.78
Ivanovo Oblast,2020,Beer,4906.64,51.45,2.57
Kaluga Oblast,2020,Beer,4991.51,47.44,2.37
Kostroma Oblast,2020,Beer,3334.40,55.76,2.79
Kursk Oblast,2020,Beer,4192.44,38.13,1.91
Lipetsk Oblast,2020,Beer,5040.77,43.47,2.17
Moscow Oblast,2020,Beer,47679.95,56.95,2.85
Oryol Oblast,2020,Beer,3030.00,41.50,2.07
Ryazan Oblast,2020,Beer,6298.31,56.24,2.81
Smolensk Oblast,2020,Beer,4738.65,51.72,2.59
Tambov Oblast,2020,Beer,3449.81,34.30,1.71
Tver Oblast,2020,Beer,6404.98,50.96,2.55
Tula Oblast,2020,Beer,5931.78,39.05,1.95
Yaroslavl Oblast,2020,Beer,6409.00,51.87,2.59
Moscow,2020,Beer,39145.11,30.24,1.51
Republic of Karelia,2020,Beer,4944.60,89.78,4.49
Komi Republic,2020,Beer,5546.11,72.65,3.63
Nenets Autonomous Okrug,2020,Beer,226.11,54.35,2.72
Vologda Oblast,2020,Beer,6353.05,54.79,2.74
Kaliningrad Oblast,2020,Beer,4657.92,45.88,2.29
Leningrad Oblast,2020,Beer,10369.00,53.15,2.66
Murmansk Oblast,2020,Beer,5152.66,74.43,3.72
Novgorod Oblast,2020,Beer,3010.92,50.79,2.54
Pskov Oblast,2020,Beer,3223.73,52.63,2.63
Saint Petersburg,2020,Beer,19025.92,34.09,1.70
Arkhangelsk Oblast,2020,Beer,5258.48,51.87,2.59
Adygea,2020,Beer,3597.35,73.78,3.69
Kalmykia,2020,Beer,562.18,20.81,1.04
Republic of Crimea,2020,Beer,11008.18,56.78,2.84
Krasnodar Krai,2020,Beer,24548.73,42.37,2.12
Astrakhan Oblast,2020,Beer,3523.14,35.95,1.80
Volgograd Oblast,2020,Beer,8797.60,34.83,1.74
Rostov Oblast,2020,Beer,12708.81,30.05,1.50
Sevastopol,2020,Beer,2138.66,40.94,2.05
Dagestan,2020,Beer,1588.24,5.06,0.25
Ingushetia,2020,Beer,18.80,0.38,0.02
Kabardino-Balkaria,2020,Beer,735.98,8.20,0.41
Karachay-Cherkessia,2020,Beer,1233.60,26.23,1.31
North Ossetia-Alania,2020,Beer,270.50,3.89,0.19
Chechnya,2020,Beer,191.43,1.30,0.06
Stavropol Krai,2020,Beer,6061.81,20.87,1.04
Bashkortostan,2020,Beer,16703.91,40.61,2.03
Mari El,2020,Beer,2838.95,41.54,2.08
Mordovia,2020,Beer,3084.48,38.60,1.93
Tatarstan,2020,Beer,18699.07,46.79,2.34
Udmurtia,2020,Beer,13672.72,92.91,4.65
Chuvashia,2020,Beer,4693.15,38.92,1.95
Perm Krai,2020,Beer,13282.98,51.59,2.58
Kirov Oblast,2020,Beer,7901.82,66.26,3.31
Nizhny Novgorod Oblast,2020,Beer,14539.98,45.81,2.29
Orenburg Oblast,2020,Beer,8253.90,43.48,2.17
Penza Oblast,2020,Beer,6756.95,52.20,2.61
Samara Oblast,2020,Beer,19456.62,60.68,3.03
Saratov Oblast,2020,Beer,10259.17,41.40,2.07
Ulyanovsk Oblast,2020,Beer,4980.36,40.83,2.04
Kurgan Oblast,2020,Beer,4470.12,55.88,2.79
Sverdlovsk Oblast,2020,Beer,29045.87,67.39,3.37
Khanty–Mansi Autonomous Okrug – Yugra,2020,Beer,11070.00,65.73,3.29
Yamalo-Nenets Autonomous Okrug,2020,Beer,3346.79,65.61,3.28
Chelyabinsk Oblast,2020,Beer,15509.05,44.71,2.24
Tyumen Oblast,2020,Beer,7495.27,47.47,2.37
Altai Republic,2020,Beer,859.73,40.69,2.03
Tuva,2020,Beer,486.37,14.74,0.74
Khakassia,2020,Beer,4354.85,80.91,4.05
Altai Krai,2020,Beer,12979.06,58.36,2.92
Krasnoyarsk Krai,2020,Beer,11986.64,41.74,2.09
Irkutsk Oblast,2020,Beer,14070.00,58.71,2.94
Kemerovo Oblast,2020,Beer,15323.46,57.87,2.89
Novosibirsk Oblast,2020,Beer,16021.28,56.97,2.85
Omsk Oblast,2020,Beer,6965.60,36.59,1.83
Tomsk Oblast,2020,Beer,5749.62,53.50,2.67
Buryatia,2020,Beer,3557.87,36.23,1.81
Sakha (Yakutia),2020,Beer,3611.02,36.97,1.85
Zabaykalsky Krai,2020,Beer,7696.27,75.08,3.75
Kamchatka Krai,2020,Beer,2080.88,70.21,3.51
Primorsky Krai,2020,Beer,10189.05,54.26,2.71
Khabarovsk Krai,2020,Beer,9337.50,71.25,3.56
Amur Oblast,2020,Beer,4928.68,62.97,3.15
Magadan Oblast,2020,Beer,948.79,68.44,3.42
Sakhalin Oblast,2020,Beer,3335.28,70.42,3.52
Jewish Autonomous Oblast,2020,Beer,1177.83,76.13,3.81
Chukotka Autonomous Okrug,2020,Beer,248.86,51.26,2.56
Belgorod Oblast,2021,Beer,7212.12,46.67,2.33
Bryansk Oblast,2021,Beer,5445.12,46.18,2.31
Vladimir Oblast,2021,Beer,7326.73,53.91,2.70
Voronezh Oblast,2021,Beer,8992.67,38.78,1.94
Ivanovo Oblast,2021,Beer,4929.18,52.50,2.63
